V1,V2,V3,V4,V5,V6,V7,V8,V9
area,Aquaculture production,in,,,,,,
,,,Flounder,snapper,Red Drum,Puffer,Grouper,Plaice
Total country,"15,513,292 ","964,189 ","122,964 111,589 80,212 37,210 13,325 ","56,313 ","64,838 ","11,632 ","59,534 ","8,463"
Tianjin,"13,305 ","3,454 ","1,951 ",40 ,60 ,182 ,391 ,40
Hebei,"311,520 ","12,796 ","220 3,453",,,,,
Liaoning Province,"2,435,184 ","61,165 ","1,645 37,412 ",,,"4,607 ",,20
Shanghai,,,,,,,,
Jiangsu Province,"842,408 ","53,463 ","414 2,663 ",60 ,10 ,167 ,,"1,292"
Zhejiang,"844,941 ","35,208 ","9,591 1,514 2,225 155 285 ","3,722 ","10,142 ",133 ,212 ,429
Fujian Province,"3,161,489 ","188,547 ","17,951 2,376 73,214 655 3,296 ","20,652 ","12,948 ","1,487 ","15,843 ",523
Shandong,"4,134,775 ","160,897 ","35,435 61,461 ",400 ,"7,180 ","4,656 ",10 ,"5,950"
Guangdong,"2,655,746 ","367,086 ","45,867 759 4,773 25,396 8,946 ","22,532 ","27,697 ",351 ,"27,372 ",209
Guangxi,"923,804 ","38,984 ","9,166 228 ","6,741 ","4,871 ",,"2,650",
Hainan,"190,120 ","42,589 ","2,675 10,776 798 ","2,166 ","1,930 ",49 ,"13,056",
