State/Union Territory,Estimated Potential (Ha),Area Developed (Ha),Area under (Ha),Production (MT),Productivity (MT/Ha)
Andhra Pradesh,150000,84951,36123,159083,4.4
Goa,18500,340,31,63,2.03
Gujarat,376000,2371,2359,9393,3.98
Kerala,65000,14875,12917,5175,0.4
Karnataka,8000,1945,394,664,1.69
Maharashtra,80000,1330,1486,3513,2.36
Odisha,31600,13400,6302,14532,2.31
Tamil Nadu & Puducherry,56800,6248,7804,25815,3.31
West Bengal,405000,50405,48410,52581,1.09
Total,1190900,175865,115826,270819,2.34
